date,metric,value,first_seen
2026-06-06,Respiratory illness hospitalizations,6.4,2026-08-31
2026-06-06,Respiratory illness visits,7.48,2026-08-31
2026-06-13,Respiratory illness hospitalizations,6.62,2026-08-31
2026-06-13,Respiratory illness visits,6.83,2026-08-31
2026-06-20,Respiratory illness hospitalizations,6.52,2026-08-31
2026-06-20,Respiratory illness visits,6.76,2026-08-31
2026-06-27,Respiratory illness hospitalizations,6.39,2026-08-31
2026-06-27,Respiratory illness visits,6.57,2026-08-31
2026-07-04,Respiratory illness hospitalizations,6.8,2026-08-31
2026-07-04,Respiratory illness visits,6.52,2026-08-31
2026-07-11,Respiratory illness hospitalizations,6.21,2026-08-31
2026-07-11,Respiratory illness visits,6.17,2026-08-31
2026-07-18,Respiratory illness hospitalizations,6.15,2026-08-31
2026-07-18,Respiratory illness visits,6.02,2026-08-31
2026-07-25,Respiratory illness hospitalizations,6.19,2026-08-31
2026-07-25,Respiratory illness visits,5.9,2026-08-31
2026-08-01,Respiratory illness hospitalizations,6.17,2026-08-31
2026-08-01,Respiratory illness visits,5.71,2026-08-31
2026-08-08,Respiratory illness hospitalizations,6.02,2026-08-31
2026-08-08,Respiratory illness visits,5.49,2026-08-31
2026-08-15,Respiratory illness hospitalizations,6.25,2026-08-31
2026-08-15,Respiratory illness visits,5.65,2026-08-31
2026-08-22,Respiratory illness hospitalizations,6.41,2026-08-31
2026-08-22,Respiratory illness visits,5.85,2026-08-31
