resource_id,source,source_id,provenance,verified_on,name,operator,canonical_category,subcategory,address,lon,lat,geocode_boro,geocode_match,in_queens,serves_queens,is_coad_member,mission,contact,contact_name,email,phone,website,social,languages,accepts_referrals,fees,capacity,review_note
facdb:003289bd5abac8d32f751c40bebd986d,facdb,003289bd5abac8d32f751c40bebd986d,dcp_facilities_database,8/28/26,Bushwick Center for Rehabilitation and Health Care,"Wartburg Receiver, LLC",health-care,ADULT DAY HEALTH CARE PROGRAM - OFFSITE,"59-25 67th Avenue, Ridgewood, 11385",-73.900902,40.704689,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:00507abb4622afe8c06f6ec951ecc60d,facdb,00507abb4622afe8c06f6ec951ecc60d,dcp_facilities_database,8/28/26,Temple of Israel Synagogue,,parks-and-environment,STATE HISTORIC PLACE,"Far Rockaway, 11693",-73.80939039,40.58723677,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:006d4995c302e75b925dc061e6b41de6,facdb,006d4995c302e75b925dc061e6b41de6,dcp_facilities_database,8/28/26,PS 14 Annex,Ps 14 Annex,children-and-youth,FEEDING SITE,"89-11 43rd St, Elmhurst, 11373",-73.87670804,40.74273489,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:00861a468a355ea533f80a81907f6cc1,facdb,00861a468a355ea533f80a81907f6cc1,dcp_facilities_database,8/28/26,"Elmcor Youth & Adult Activities, Inc.","Elmcor Youth & Adult Activities, Inc.",libraries-and-community,MUSIC,"33-16 108 Street, Corona, 11368",-73.86135856,40.75727382,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:00acfcd3a83d7aa4884e2595972c04fc,facdb,00acfcd3a83d7aa4884e2595972c04fc,dcp_facilities_database,8/28/26,Chn Mobile Van V,Community Healthcare Network,health-care,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,"97-04 Sutphin Boulevard, Jamaica, 11435",-73.80596843,40.69691683,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:00b02f764c86f7cbe2233463faee109f,facdb,00b02f764c86f7cbe2233463faee109f,dcp_facilities_database,8/28/26,P.S. 134 Hollis,YMCA of Greater New York/Corporate,children-and-youth,COMPASS ELEMENTARY,"203-02 109 Avenue, Saint Albans, 11412",-73.75481313,40.70768835,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:00e81f69d9981c3ee36f28fa0e171ab4,facdb,00e81f69d9981c3ee36f28fa0e171ab4,dcp_facilities_database,8/28/26,Maple Grove Cemetery,,parks-and-environment,STATE HISTORIC PLACE,"Kew Gardens, 11415",-73.82331699,40.70859995,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:00fe55ac4f04e70215a345ac537a54d8,facdb,00fe55ac4f04e70215a345ac537a54d8,dcp_facilities_database,8/28/26,"Queens Community House, Inc.","Queens Community House, Inc.",children-and-youth,SCHOOL'S OUT NEW YORK CITY (SONYC),"85-05 144 Street, Jamaica, 11435",-73.81182232,40.71041953,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:01140fe07172ec2ebf95263c366cc58f,facdb,01140fe07172ec2ebf95263c366cc58f,dcp_facilities_database,8/28/26,New York Edge Inc,New York Edge Inc,children-and-youth,COMPASS ELEMENTARY,"214-43 35 Avenue, Bayside, 11361",-73.77116392,40.77026919,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:01208941d24f3e35d44e3355e5b9bfdf,facdb,01208941d24f3e35d44e3355e5b9bfdf,dcp_facilities_database,8/28/26,Infopower International Inc.,Infopower International Inc.,libraries-and-community,"MULTI-DISCIPLINE, NON-PERFORM","18-17 Gateway Boulevard, Far Rockaway, 11691",-73.75091676,40.60009621,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:01271282d6bc6af32b966b1debe077e0,facdb,01271282d6bc6af32b966b1debe077e0,dcp_facilities_database,8/28/26,YMCA of Greater New York,YMCA of Greater New York,children-and-youth,SCHOOL'S OUT NEW YORK CITY (SONYC),"132-55 Ridgedale Street, Springfield Gardens, 11413",-73.75302768,40.68180491,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:012a263ea7830960d225207533100745,facdb,012a263ea7830960d225207533100745,dcp_facilities_database,8/28/26,"Greek Cultural Center, Inc.","Greek Cultural Center, Inc.",libraries-and-community,THEATER,"27-18 Hoyt Avenue South, Astoria, 11102",-73.91997665,40.77120048,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
facdb:0130a80b8ec969e75e57bce4dcafbf69,facdb,0130a80b8ec969e75e57bce4dcafbf69,dcp_facilities_database,8/28/26,Queens Upper School Day Treatment,New York City Children's Center,mental-health-and-recovery,OUTPATIENT MENTAL HEALTH,"74-03 Commonwealth Boulevard, Bellerose, 11426",-73.72570679,40.74569551,Queens,,TRUE,TRUE,FALSE,,,,,,,,,,,0,
