cdta2020,slug,borocd,puma2020,puma_shared,hvi_geoid,county_fips,boro_code,boro_name,cd_label,display_name,coad,cdta_name
BK01,bk01,301,4301,FALSE,4701,047,3,Brooklyn,Community District 1,Williamsburg-Greenpoint,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent)
BK02,bk02,302,4302,FALSE,4702,047,3,Brooklyn,Community District 2,Downtown Brooklyn-Fort Greene,,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation)
BK03,bk03,303,4303,FALSE,4703,047,3,Brooklyn,Community District 3,Bedford-Stuyvesant,,BK03 Bedford-Stuyvesant (CD 3 Approximation)
BK04,bk04,304,4304,FALSE,4704,047,3,Brooklyn,Community District 4,Bushwick,,BK04 Bushwick (CD 4 Equivalent)
BK05,bk05,305,4305,FALSE,4705,047,3,Brooklyn,Community District 5,East New York-Cypress Hills,,BK05 East New York-Cypress Hills (CD 5 Approximation)
BK06,bk06,306,4306,FALSE,4706,047,3,Brooklyn,Community District 6,Park Slope-Carroll Gardens,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation)
BK07,bk07,307,4307,FALSE,4707,047,3,Brooklyn,Community District 7,Sunset Park-Windsor Terrace,,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)
BK08,bk08,308,4308,FALSE,4708,047,3,Brooklyn,Community District 8,Crown Heights (North),,BK08 Crown Heights (North) (CD 8 Approximation)
BK09,bk09,309,4309,FALSE,4709,047,3,Brooklyn,Community District 9,Crown Heights (South),,BK09 Crown Heights (South) (CD 9 Approximation)
BK10,bk10,310,4310,FALSE,4710,047,3,Brooklyn,Community District 10,Bay Ridge-Dyker Heights,,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation)
BK11,bk11,311,4311,FALSE,4711,047,3,Brooklyn,Community District 11,Bensonhurst-Bath Beach,,BK11 Bensonhurst-Bath Beach (CD 11 Approximation)
BK12,bk12,312,4312,FALSE,4712,047,3,Brooklyn,Community District 12,Borough Park-Kensington,,BK12 Borough Park-Kensington (CD 12 Approximation)
BK13,bk13,313,4313,FALSE,4713,047,3,Brooklyn,Community District 13,Coney Island-Brighton Beach,,BK13 Coney Island-Brighton Beach (CD 13 Approximation)
BK14,bk14,314,4314,FALSE,4714,047,3,Brooklyn,Community District 14,Flatbush-Midwood,,BK14 Flatbush-Midwood (CD 14 Approximation)
BK15,bk15,315,4315,FALSE,4715,047,3,Brooklyn,Community District 15,Sheepshead Bay-Gravesend (East),,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation)
BK16,bk16,316,4316,FALSE,4716,047,3,Brooklyn,Community District 16,Ocean Hill-Brownsville,,BK16 Ocean Hill-Brownsville (CD 16 Approximation)
BK17,bk17,317,4317,FALSE,4717,047,3,Brooklyn,Community District 17,East Flatbush,,BK17 East Flatbush (CD 17 Approximation)
BK18,bk18,318,4318,FALSE,4718,047,3,Brooklyn,Community District 18,Canarsie-Flatlands,,BK18 Canarsie-Flatlands (CD 18 Approximation)
BX01,bx01,201,4221,TRUE,501,005,2,Bronx,Community District 1,Melrose-Mott Haven-Port Morris,,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
BX02,bx02,202,4221,TRUE,502,005,2,Bronx,Community District 2,Longwood-Hunts Point,,BX02 Longwood-Hunts Point (CD 2 Approximation)
BX03,bx03,203,4263,TRUE,503,005,2,Bronx,Community District 3,Morrisania-Crotona Park East,,BX03 Morrisania-Crotona Park East (CD 3 Approximation)
BX04,bx04,204,4204,FALSE,504,005,2,Bronx,Community District 4,Highbridge-Concourse,,BX04 Highbridge-Concourse (CD 4 Approximation)
BX05,bx05,205,4205,FALSE,505,005,2,Bronx,Community District 5,Morris Heights-Mount Hope,,BX05 Morris Heights-Mount Hope (CD 5 Approximation)
BX06,bx06,206,4263,TRUE,506,005,2,Bronx,Community District 6,Tremont-Belmont-West Farms,,BX06 Tremont-Belmont-West Farms (CD 6 Approximation)
BX07,bx07,207,4207,FALSE,507,005,2,Bronx,Community District 7,Fordham-Bedford Park-Norwood,,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)
BX08,bx08,208,4208,FALSE,508,005,2,Bronx,Community District 8,Riverdale-Kingsbridge-Marble Hill,,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation)
BX09,bx09,209,4209,FALSE,509,005,2,Bronx,Community District 9,Soundview-Parkchester,,BX09 Soundview-Parkchester (CD 9 Approximation)
BX10,bx10,210,4210,FALSE,510,005,2,Bronx,Community District 10,Co-op City-Throgs Neck,,BX10 Co-op City-Throgs Neck (CD 10 Approximation)
BX11,bx11,211,4211,FALSE,511,005,2,Bronx,Community District 11,Pelham Parkway-Morris Park,,BX11 Pelham Parkway-Morris Park (CD 11 Approximation)
