source,source_field,source_category,canonical_category,canonical_label,notes
facdb,facsubgrp,SOUP KITCHENS AND FOOD PANTRIES,food-assistance,Food assistance,
facdb,facsubgrp,SENIOR SERVICES,older-adults,Older adults,
facdb,facsubgrp,LEGAL AND INTERVENTION SERVICES,benefits-and-legal,Benefits and legal help,
facdb,facsubgrp,PROGRAMS FOR PEOPLE WITH DISABILITIES,disability-and-access,Disability and access,
facdb,facsubgrp,WORKFORCE DEVELOPMENT,education-and-jobs,Education and jobs,
facdb,facsubgrp,IMMIGRANT SERVICES,immigration-and-language,Immigration and language,
facdb,facsubgrp,COMMUNITY CENTERS AND COMMUNITY PROGRAMS,libraries-and-community,Libraries and community,
facdb,facsubgrp,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,housing-and-shelter,Housing and shelter,
facdb,facsubgrp,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,benefits-and-legal,Benefits and legal help,
facdb,facsubgrp,MENTAL HEALTH,mental-health-and-recovery,Mental health and recovery,
facdb,facsubgrp,HOSPITALS AND CLINICS,health-care,Health care,
facdb,facsubgrp,RESIDENTIAL HEALTH CARE,health-care,Health care,
facdb,facsubgrp,OTHER HEALTH CARE,health-care,Health care,
facdb,facsubgrp,SUBSTANCE USE DISORDER TREATMENT PROGRAMS,mental-health-and-recovery,Mental health and recovery,
facdb,facgroup,LIBRARIES,libraries-and-community,Libraries and community,
facdb,facgroup,CULTURAL INSTITUTIONS,libraries-and-community,Libraries and community,
facdb,facgroup,EMERGENCY SERVICES,emergency-services,Emergency services,
facdb,facgroup,PUBLIC SAFETY,emergency-services,Emergency services,
facdb,facgroup,SCHOOLS (K-12),exclude,,"Institutions children attend, not resources a household turns to in an emergency. 605 in Queens."
facdb,facgroup,YOUTH SERVICES,children-and-youth,Children and youth,
facdb,facgroup,DAY CARE AND PRE-KINDERGARTEN,exclude,,"Same. 1,088 in Queens - the single largest block in the category."
facdb,facgroup,CHILD SERVICES AND WELFARE,children-and-youth,Children and youth,
facdb,facgroup,CAMPS,exclude,,Seasonal and recreational. 86 in Queens.
facdb,facgroup,ADULT SERVICES,education-and-jobs,Education and jobs,Adult and immigrant literacy
facdb,facgroup,VOCATIONAL AND PROPRIETARY SCHOOLS,education-and-jobs,Education and jobs,
facdb,facgroup,HIGHER EDUCATION,education-and-jobs,Education and jobs,
facdb,facgroup,PARKS AND PLAZAS,parks-and-environment,Parks and environment,
facdb,facgroup,HISTORICAL SITES,parks-and-environment,Parks and environment,
facdb,facgroup,"OFFICES, TRAINING, AND TESTING",government-offices,Government offices,
facdb,facgroup,TRANSPORTATION,exclude,,Parking lots and garages; not a resident resource
facdb,facgroup,SOLID WASTE,exclude,,Infrastructure; scoped for the hazard side not the resource side
facdb,facgroup,WATER AND WASTEWATER,exclude,,Infrastructure
facdb,facgroup,MATERIAL SUPPLIES AND MARKETS,exclude,,
facdb,facgroup,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",exclude,,
facdb,facgroup,OTHER PROPERTY,exclude,,
facdb,facgroup,JUSTICE AND CORRECTIONS,exclude,,Courts and correctional facilities
qnpd,organization_type,Food Insecurity,food-assistance,Food assistance,
qnpd,organization_type,Healthcare,health-care,Health care,
qnpd,organization_type,Senior Services,older-adults,Older adults,
qnpd,organization_type,Housing Rights,housing-and-shelter,Housing and shelter,
qnpd,organization_type,Mental Health Services & Recovery Support,mental-health-and-recovery,Mental health and recovery,
qnpd,organization_type,Substance Abuse,mental-health-and-recovery,Mental health and recovery,
qnpd,organization_type,Youth Development & Empowerment,children-and-youth,Children and youth,
qnpd,organization_type,Education,education-and-jobs,Education and jobs,
qnpd,organization_type,Workforce Development,education-and-jobs,Education and jobs,
qnpd,organization_type,Immigration Integration,immigration-and-language,Immigration and language,
qnpd,organization_type,Environmental Issues,parks-and-environment,Parks and environment,
qnpd,organization_type,Civic Engagement,government-offices,Government offices,
qnpd,organization_type,Arts & Culture,libraries-and-community,Libraries and community,Largest single QNPD type at 35 orgs; folded in per the agreed 14-category vocabulary
qnpd,organization_type,Spiritual Services,libraries-and-community,Libraries and community,Congregations often function as informal shelters and distribution points
qnpd,organization_type,Human Services & Social Services,benefits-and-legal,Benefits and legal help,
qnpd,organization_type,Legal Services,benefits-and-legal,Benefits and legal help,
qnpd,organization_type,Economic Justice,benefits-and-legal,Benefits and legal help,
qnpd,organization_type,Domestic Violence Prevention & Intervention,benefits-and-legal,Benefits and legal help,
qnpd,organization_type,Gender Justice,benefits-and-legal,Benefits and legal help,
qnpd,organization_type,Racial Equity,benefits-and-legal,Benefits and legal help,
qnpd,organization_type,Veterans Services,benefits-and-legal,Benefits and legal help,
franc,source_layer,Food Pantry Services,food-assistance,Food assistance,
franc,source_layer,Hospital/Health Care,health-care,Health care,
franc,source_layer,Emergency Services,emergency-services,Emergency services,
franc,source_layer,"DAFN - Disability, Access, and Functional Needs",disability-and-access,Disability and access,
franc,source_layer,Elected Officials Offices,government-offices,Government offices,
franc,source_layer,Transportation,emergency-services,Emergency services,FRANC transportation is evacuation and mobility support; the canonical vocabulary has no transportation category
franc,source_layer,FRANC Members,unassigned,Unassigned,Membership not a category - sets is_coad_member and needs per-record review
franc,source_layer,Resources,unassigned,Unassigned,Catch-all layer - needs per-record review
